[2026-06-18 20:53:49] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:53:49] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:53:49] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:53:49] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:53:49] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:53:49] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:53:49] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:53:49] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:53:49] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:53:56] Scout (ATT WINS): att=51, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:53:56] Scout (ATT WINS): att=49, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:53:56] Scout (ATT WINS): att=16, def=0, losses=0, spy_level=4, only_spies=false
[2026-06-18 20:53:56] Scout (ATT WINS): att=33, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:53:56] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:53:56] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:53:58] Scout (ATT WINS): att=12, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:53:58] Scout (ATT WINS): att=147, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:53:58] Scout (ATT WINS): att=19, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:53:58] Scout (ATT WINS): att=13, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:53:58] Scout (ATT WINS): att=199, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:53:58] Scout (ATT WINS): att=35, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:53:58] Scout (ATT WINS): att=87, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:53:58] Scout (ATT WINS): att=39, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:53:58] Scout (ATT WINS): att=64, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:53:58] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:53:58] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:53:58] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:53:58] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:53:59] Scout (ATT WINS): att=10, def=0, losses=0, spy_level=4, only_spies=false
[2026-06-18 20:53:59] Scout (ATT WINS): att=10, def=0, losses=0, spy_level=4, only_spies=false
